City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
537,bintulu,3.1667,113.0333,25.23,83,20,1.54,MY,1689467188
538,margate,51.3813,1.3862,16.61,81,19,3.58,GB,1689467189
539,katabu,-4.9333,122.5167,26.15,76,72,1.23,ID,1689467189
540,palangkaraya,-2.2,113.8333,23.36,97,100,0.49,ID,1689466901
541,berezovo,63.9381,65.0419,14.23,72,5,2.16,RU,1689467190
542,pokhara,28.2333,83.9833,21.74,88,74,1.48,NP,1689467163
543,ocean city,39.2776,-74.5746,27.23,87,94,3.58,US,1689467125
544,poronaysk,49.2167,143.1167,17.42,69,100,1.58,RU,1689467191
545,ceriale,44.0913,8.2289,25.13,80,0,2.68,IT,1689467192
546,mata-utu,-13.2816,-176.1745,26.94,80,19,7.82,WF,1689467192
547,nagqu,31.5,92.0,4.92,84,8,1.29,CN,1689467192
548,masuguru,-11.3667,38.4167,17.63,65,0,0.57,TZ,1689467193
549,ogwashi-uku,6.1782,6.5243,22.38,99,95,2.0,NG,1689467193
550,timimoun,29.2639,0.231,31.21,8,0,5.66,DZ,1689467194
551,chibougamau,49.9168,-74.3659,22.79,60,75,3.09,CA,1689467194
552,sorong,-0.8833,131.25,24.34,92,100,3.52,ID,1689467194
553,celestun,20.8667,-90.4,29.1,74,10,8.67,MX,1689467195
554,cidade velha,14.9167,-23.6167,27.26,83,20,1.03,CV,1689467195
555,sirte,31.2089,16.5887,26.01,83,0,3.33,LY,1689467195
556,salalah,17.0151,54.0924,26.05,100,100,2.57,OM,1689467196
557,selfoss,63.9331,-20.9971,8.36,73,55,4.76,IS,1689467196
558,bandarbeyla,9.4942,50.8122,24.48,78,2,12.82,SO,1689467196
559,khandyga,62.6667,135.6,15.17,54,94,2.04,RU,1689467197
560,mawlaik,23.6333,94.4167,24.88,98,100,0.41,MM,1689467197
561,xianning,29.8833,114.2167,25.79,78,99,0.64,CN,1689467197
562,urzhar,47.093,81.6294,20.86,29,0,0.4,KZ,1689467198
563,woolgoolga,-30.1106,153.2007,18.93,47,0,0.89,AU,1689467198
564,miguel ahumada,30.6167,-106.5167,38.5,17,40,7.28,MX,1689467198
565,port-cartier,50.0334,-66.8654,18.19,97,86,1.72,CA,1689467199
566,akureyri,65.6835,-18.0878,5.96,93,100,4.63,IS,1689467010
567,antsiranana,-12.2787,49.2917,20.76,71,12,2.57,MG,1689467199
568,dean funes,-30.4204,-64.3498,7.55,66,24,4.1,AR,1689467200
569,inarajan village,13.2736,144.7484,31.54,83,49,6.9,GU,1689467200
